,t,Y,C
20140,1.0070000000000001,-50.323486328125,75.0
20141,1.00705,-50.29296875,75.0
20142,1.0071,-50.29296875,75.0
20143,1.00715,-50.323486328125,75.0
20144,1.0072,-50.323486328125,75.0
20145,1.00725,-50.29296875,75.0
20146,1.0073,-50.29296875,75.0
20147,1.00735,-50.262451171875,75.0
20148,1.0074,-50.262451171875,75.0
20149,1.00745,-50.29296875,75.0
20150,1.0075,-50.29296875,75.0
20151,1.00755,-50.29296875,75.0
20152,1.0076,-50.262451171875,75.0
20153,1.0076500000000002,-50.23193359375,75.0
20154,1.0077,-50.262451171875,75.0
20155,1.0077500000000001,-50.29296875,75.0
20156,1.0078,-50.29296875,75.0
20157,1.0078500000000001,-50.262451171875,75.0
20158,1.0079,-50.262451171875,75.0
20159,1.0079500000000001,-50.262451171875,75.0
20160,1.008,-50.262451171875,75.0
20161,1.0080500000000001,-50.262451171875,75.0
20162,1.0081,-50.262451171875,75.0
20163,1.00815,-50.23193359375,75.0
20164,1.0082,-50.262451171875,75.0
20165,1.00825,-50.23193359375,75.0
20166,1.0083,-50.23193359375,75.0
20167,1.00835,-50.262451171875,75.0
20168,1.0084,-50.323486328125,75.0
20169,1.00845,-50.35400390625,75.0
20170,1.0085,-50.323486328125,75.0
20171,1.00855,-50.262451171875,75.0
20172,1.0086,-50.23193359375,75.0
20173,1.00865,-50.262451171875,75.0
20174,1.0087000000000002,-50.262451171875,75.0
20175,1.00875,-50.29296875,75.0
20176,1.0088000000000001,-50.29296875,75.0
20177,1.00885,-50.35400390625,75.0
20178,1.0089000000000001,-50.262451171875,75.0
20179,1.00895,-50.23193359375,75.0
20180,1.0090000000000001,-50.23193359375,75.0
20181,1.00905,-50.201416015625,75.0
20182,1.0091,-50.262451171875,75.0
20183,1.00915,-50.29296875,75.0
20184,1.0092,-50.262451171875,75.0
20185,1.00925,-50.29296875,75.0
20186,1.0093,-50.23193359375,75.0
20187,1.00935,-50.23193359375,75.0
20188,1.0094,-50.23193359375,75.0
20189,1.00945,-50.201416015625,75.0
20190,1.0095,-50.201416015625,75.0
20191,1.00955,-50.201416015625,75.0
20192,1.0096,-50.23193359375,75.0
20193,1.0096500000000002,-50.23193359375,75.0
20194,1.0097,-50.201416015625,75.0
20195,1.0097500000000001,-50.201416015625,75.0
20196,1.0098,-50.1708984375,75.0
20197,1.0098500000000001,-50.1708984375,75.0
20198,1.0099,-50.201416015625,75.0
20199,1.0099500000000001,-50.1708984375,75.0
20200,1.01,-50.1708984375,75.0
20201,1.0100500000000001,-50.201416015625,75.0
20202,1.0101,-50.201416015625,75.0
20203,1.01015,-50.1708984375,75.0
20204,1.0102,-50.201416015625,75.0
20205,1.01025,-50.23193359375,75.0
20206,1.0103,-50.1708984375,75.0
20207,1.01035,-50.1708984375,75.0
20208,1.0104,-50.23193359375,75.0
20209,1.01045,-50.1708984375,75.0
20210,1.0105,-50.201416015625,75.0
20211,1.01055,-50.23193359375,75.0
20212,1.0106,-50.201416015625,75.0
20213,1.01065,-50.201416015625,75.0
20214,1.0107000000000002,-50.1708984375,75.0
20215,1.01075,-50.140380859375,75.0
20216,1.0108000000000001,-50.140380859375,75.0
20217,1.01085,-50.1708984375,75.0
20218,1.0109000000000001,-50.10986328125,75.0
20219,1.01095,-50.140380859375,75.0
20220,1.0110000000000001,-50.140380859375,75.0
20221,1.01105,-50.10986328125,75.0
20222,1.0111,-50.1708984375,75.0
20223,1.01115,-50.140380859375,75.0
20224,1.0112,-50.140380859375,75.0
20225,1.01125,-50.140380859375,75.0
20226,1.0113,-50.10986328125,75.0
20227,1.01135,-50.10986328125,75.0
20228,1.0114,-50.140380859375,75.0
20229,1.01145,-50.048828125,75.0
20230,1.0115,-50.048828125,75.0
20231,1.01155,-50.079345703125,75.0
20232,1.0116,-50.079345703125,75.0
20233,1.01165,-50.048828125,75.0
20234,1.0117,-50.048828125,75.0
20235,1.0117500000000001,-50.079345703125,75.0
20236,1.0118,-50.048828125,75.0
20237,1.0118500000000001,-50.048828125,75.0
20238,1.0119,-50.10986328125,75.0
20239,1.0119500000000001,-50.079345703125,75.0
20240,1.012,-50.048828125,75.0
20241,1.0120500000000001,-50.048828125,75.0
20242,1.0121,-50.079345703125,75.0
20243,1.01215,-50.048828125,75.0
20244,1.0122,-50.048828125,75.0
20245,1.01225,-50.048828125,75.0
20246,1.0123,-50.048828125,75.0
20247,1.01235,-50.048828125,75.0
20248,1.0124,-49.98779296875,75.0
20249,1.01245,-50.018310546875,75.0
20250,1.0125,-50.048828125,75.0
20251,1.01255,-49.98779296875,75.0
20252,1.0126,-49.98779296875,75.0
20253,1.01265,-49.957275390625,75.0
20254,1.0127000000000002,-50.018310546875,75.0
20255,1.01275,-49.98779296875,75.0
20256,1.0128000000000001,-49.9267578125,75.0
20257,1.01285,-50.018310546875,75.0
20258,1.0129000000000001,-50.018310546875,75.0
20259,1.01295,-50.018310546875,75.0
20260,1.0130000000000001,-50.018310546875,75.0
20261,1.01305,-49.957275390625,75.0
20262,1.0131000000000001,-50.079345703125,75.0
20263,1.01315,-50.048828125,75.0
20264,1.0132,-50.048828125,75.0
20265,1.01325,-50.018310546875,75.0
20266,1.0133,-50.048828125,75.0
20267,1.01335,-50.079345703125,75.0
20268,1.0134,-50.018310546875,75.0
20269,1.01345,-49.98779296875,75.0
20270,1.0135,-50.018310546875,75.0
20271,1.01355,-50.079345703125,75.0
20272,1.0136,-50.079345703125,75.0
20273,1.01365,-49.98779296875,75.0
20274,1.0137,-49.98779296875,75.0
20275,1.0137500000000002,-50.048828125,75.0
20276,1.0138,-50.048828125,75.0
20277,1.0138500000000001,-50.048828125,75.0
20278,1.0139,-50.018310546875,75.0
20279,1.0139500000000001,-49.98779296875,75.0
20280,1.014,-50.018310546875,75.0
20281,1.0140500000000001,-50.4150390625,75.0
20282,1.0141,-50.079345703125,75.0
20283,1.01415,-49.957275390625,75.0
20284,1.0142,-50.048828125,75.0
20285,1.01425,-50.018310546875,75.0
20286,1.0143,-49.98779296875,75.0
20287,1.01435,-49.957275390625,75.0
20288,1.0144,-49.98779296875,75.0
20289,1.01445,-50.018310546875,75.0
20290,1.0145,-50.018310546875,75.0
