Summary Statistics
  parameters      mean       std   naive_se      mcse        ess      rhat   ess_per_sec 
      Symbol   Float64   Float64    Float64   Float64    Float64   Float64       Float64 

          Y0    0.0573    0.7395     0.0165    0.0300   504.5354    1.0034        0.1084
          η0    0.6165    0.3177     0.0071    0.0147   547.6801    0.9996        0.1177
          η1    0.0119    0.0043     0.0001    0.0002   570.5087    1.0050        0.1226
           β    2.2335    0.5158     0.0115    0.0250   446.4094    1.0012        0.0960
           ϵ    0.2800    0.1204     0.0027    0.0051   566.7761    1.0007        0.1218
           a    0.6610    0.2066     0.0046    0.0128   183.9900    1.0082        0.0395
           k    0.5933    0.3298     0.0074    0.0108   547.5616    0.9996        0.1177
